DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub,medsiglik,medtaulik,maxlik,taumaxlik,sigmaxlik
2428268,883.309203677,297.267346702,1912.88705473,0.0102690694929,0.00772258051616,0.0138245515589,99.3646025836,100.317820303,101.422235688,398.519889899,0.00962636462624
2428694,1440.36532121,704.331932793,2376.25079571,0.00884401081,0.00776989743022,0.0101951806266,170.499726002,167.965721385,171.808642283,675.410962817,0.0087873867971
2429577,1525.69890711,713.543295523,2461.02866055,0.0125593274281,0.0111105070601,0.0143215331374,159.717119324,159.727298258,161.914434249,673.684999591,0.0123553941209
2430483,51.2689662882,29.8228362267,101.740298062,0.025991111293,0.0221307107933,0.0308684518772,124.542492272,124.751658649,126.077929559,30.7684494982,0.0283257242582
2436045,1738.11553648,1071.75405941,2305.32390216,0.0100034381443,0.00831649394476,0.0121817611807,137.270877999,134.361904903,138.697755098,2408.09088202,0.00814592606344
2436695,1199.22245431,520.690054039,2265.84195622,0.00775548992575,0.00650580194723,0.00931477078148,158.358891881,160.084700731,161.227309541,495.829663664,0.00726951082537
2438176,1406.52218123,655.56574581,2355.07138827,0.00636279943213,0.00538910640901,0.00752794274814,174.931804012,175.121878314,176.491958124,642.063605445,0.00644920796238
2443925,1381.89727671,604.957792319,2382.46306198,0.00342228229754,0.00267984981978,0.00445950322647,164.859474907,164.295562315,165.731549795,714.607127231,0.00317894372189
2446148,1451.05462205,728.647432281,2211.58294268,0.00916998430421,0.00762553572565,0.0110759975164,128.111605013,128.163857996,128.869178892,962.866773221,0.0083020206774
2447561,1037.28658036,478.09093902,2139.02377683,0.00540187162221,0.00454738891577,0.00649888206627,325.754084144,325.350610816,327.319276877,736.613025206,0.00488486190441
2448723,1312.38426671,595.070961575,2344.87578499,0.0115667322538,0.0102045506542,0.013150003064,158.426984302,158.513016314,159.791150532,502.06009768,0.0119597605953
2449604,573.203416608,191.369048746,1835.65433669,0.00542689762995,0.00448362085757,0.00656937778641,183.192289762,183.610248889,185.912666706,187.386527539,0.00561843555964
2449644,1479.12111711,727.501865325,2458.48263184,0.0104166108047,0.00861979221255,0.0128894065665,119.696022676,117.509058947,120.175828653,823.82036181,0.010038531323
2453006,1229.99381281,540.68513113,2320.01507032,0.00542905239255,0.00461182724091,0.00642476989819,175.320227234,175.50325793,176.110976651,629.935278459,0.00529206747759
2453124,207.969337728,81.7792539812,955.529640072,0.00539734557285,0.00418576030327,0.00698986794968,161.487243343,160.927205731,162.900632932,103.884803834,0.00630280475673
2459430,929.794794912,400.549113574,1714.83309282,0.0063557986631,0.00537261847484,0.00763079416111,162.82298603,162.580062211,164.039183995,411.17332554,0.00625369671731
2459662,1252.24004867,551.349937702,2103.57498911,0.0106924394958,0.00879760896457,0.013126275814,123.766811065,122.527452284,124.185216928,762.248338442,0.0100122981009
2459891,755.361076617,335.252187321,1866.39318398,0.0086469449188,0.00742179408173,0.0102029098676,164.260112824,163.031490348,164.572122204,349.833766552,0.00856318597901
2460432,1337.703243,663.386277084,2125.21234666,0.00546149993398,0.004441269868,0.00673217674472,139.347799179,136.079407622,139.440534978,700.449126978,0.00533134896438
2461157,305.34444215,127.009325685,1155.48250815,0.0101581009168,0.00860696737157,0.0120458571272,139.012689864,140.003633122,141.303446544,142.190487311,0.010434915696
