DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub
78206,0.0,0.0,0.0,0.0,0.0,0.0
78621,0.0,0.0,0.0,0.0,0.0,0.0
78713,0.0,0.0,0.0,0.0,0.0,0.0
79006,0.0,0.0,0.0,0.0,0.0,0.0
79566,0.0,0.0,0.0,0.0,0.0,0.0
79609,0.0,0.0,0.0,0.0,0.0,0.0
79963,0.0,0.0,0.0,0.0,0.0,0.0
80524,0.0,0.0,0.0,0.0,0.0,0.0
80641,0.0,0.0,0.0,0.0,0.0,0.0
81005,0.0,0.0,0.0,0.0,0.0,0.0
81061,0.0,0.0,0.0,0.0,0.0,0.0
81140,0.0,0.0,0.0,0.0,0.0,0.0
82001,0.0,0.0,0.0,0.0,0.0,0.0
82447,0.0,0.0,0.0,0.0,0.0,0.0
82552,0.0,0.0,0.0,0.0,0.0,0.0
82616,0.0,0.0,0.0,0.0,0.0,0.0
82957,0.0,0.0,0.0,0.0,0.0,0.0
83042,0.0,0.0,0.0,0.0,0.0,0.0
83252,0.0,0.0,0.0,0.0,0.0,0.0
83360,0.0,0.0,0.0,0.0,0.0,0.0
83436,0.0,0.0,0.0,0.0,0.0,0.0
83896,0.0,0.0,0.0,0.0,0.0,0.0
84284,0.0,0.0,0.0,0.0,0.0,0.0
84414,0.0,0.0,0.0,0.0,0.0,0.0
84783,0.0,0.0,0.0,0.0,0.0,0.0
85167,0.0,0.0,0.0,0.0,0.0,0.0
85843,0.0,0.0,0.0,0.0,0.0,0.0
85979,0.0,0.0,0.0,0.0,0.0,0.0
86168,0.0,0.0,0.0,0.0,0.0,0.0
86234,0.0,0.0,0.0,0.0,0.0,0.0
86582,0.0,0.0,0.0,0.0,0.0,0.0
87638,0.0,0.0,0.0,0.0,0.0,0.0
87740,0.0,0.0,0.0,0.0,0.0,0.0
87776,0.0,0.0,0.0,0.0,0.0,0.0
88077,0.0,0.0,0.0,0.0,0.0,0.0
88302,0.0,0.0,0.0,0.0,0.0,0.0
88455,0.0,0.0,0.0,0.0,0.0,0.0
88587,0.0,0.0,0.0,0.0,0.0,0.0
88738,0.0,0.0,0.0,0.0,0.0,0.0
88853,0.0,0.0,0.0,0.0,0.0,0.0
89008,0.0,0.0,0.0,0.0,0.0,0.0
89200,0.0,0.0,0.0,0.0,0.0,0.0
90848,0.0,0.0,0.0,0.0,0.0,0.0
90959,0.0,0.0,0.0,0.0,0.0,0.0
91361,0.0,0.0,0.0,0.0,0.0,0.0
91514,0.0,0.0,0.0,0.0,0.0,0.0
91788,0.0,0.0,0.0,0.0,0.0,0.0
91794,0.0,0.0,0.0,0.0,0.0,0.0
92171,0.0,0.0,0.0,0.0,0.0,0.0
92315,0.0,0.0,0.0,0.0,0.0,0.0
92483,0.0,0.0,0.0,0.0,0.0,0.0
92997,0.0,0.0,0.0,0.0,0.0,0.0
93235,0.0,0.0,0.0,0.0,0.0,0.0
93336,0.0,0.0,0.0,0.0,0.0,0.0
93960,0.0,0.0,0.0,0.0,0.0,0.0
94119,0.0,0.0,0.0,0.0,0.0,0.0
94538,0.0,0.0,0.0,0.0,0.0,0.0
95334,0.0,0.0,0.0,0.0,0.0,0.0
96715,0.0,0.0,0.0,0.0,0.0,0.0
97530,0.0,0.0,0.0,0.0,0.0,0.0
97612,0.0,0.0,0.0,0.0,0.0,0.0
