DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub
2015159,1310.61692369,570.10523543,2537.76843295,0.01301040786,0.0108272538154,0.0158707441601
2015410,1865.7929292,953.39923231,2835.44915243,0.00819538079079,0.00680922662413,0.0099773105682
2015649,822.779391641,320.870839609,2271.18560951,0.011403005156,0.00941956734186,0.0138396775625
2015961,1612.55862611,720.415334129,2742.40209291,0.00695275810387,0.00608648014752,0.00802026668792
2016184,1495.16239373,723.090136844,2652.99985145,0.0153282319994,0.0129592104505,0.0183836282156
2016388,1234.86957365,507.297296859,2435.45666847,0.00531002846694,0.00448778640744,0.0062871416688
2016615,1691.71070223,841.974083981,2792.23945185,0.00994111487393,0.00850730949524,0.0116390366928
2016670,1272.22649221,478.963417948,2544.13580618,0.00987949114085,0.00821771157789,0.0121068938981
2017266,1002.62338598,388.191980314,2422.85269617,0.0141112424715,0.0120807240082,0.0166582567935
2017842,1621.62633822,745.090488633,2704.62533719,0.0122418657262,0.0107569269427,0.0140461791226
2017843,1748.78071287,888.342797282,2780.26352983,0.00694259496926,0.00610342595243,0.00794947751006
2018345,29269.6591052,29269.6591052,29269.6591052,0.00790106076304,0.00790106076304,0.00790106076304
2018671,588.568436413,199.752371448,1625.92052378,0.0117784256061,0.00956665314144,0.0147701314934
2018778,1309.51947191,520.176701567,2561.77960419,0.0147777562196,0.0118656445208,0.0184529915319
2019552,1442.96558068,656.656787451,2606.83519767,0.0141595969915,0.0120774572854,0.0167654418406
2020477,2007.04446352,1122.68260382,2917.08504316,0.00693133585941,0.00534792123658,0.00904159314767
2020749,1953.84569586,1120.30002592,2858.98035751,0.0107481681253,0.00958782601328,0.0121684771549
2020866,906.496293677,307.409342971,2216.79999659,0.00653968058682,0.00520080966895,0.00813446381157
2021196,389.983066288,122.70045503,1584.57431804,0.0164915607146,0.0136342060933,0.020368907937
2021664,1455.39395816,688.579446745,2643.45304955,0.0105332082334,0.0092829718487,0.0120281936248
2021818,1006.84330477,374.655312428,2323.12334301,0.00935726145071,0.00765126591593,0.0115276606178
2022001,1062.22072288,443.303686138,2352.27830658,0.0141103878297,0.0121936833757,0.0162209100495
2022121,1211.52260404,469.183023541,2509.436003,0.0101626337371,0.00862236179789,0.0120330901961
2022136,1391.5017086,536.186921368,2644.27221168,0.0129295996616,0.0111362511198,0.0150870574366
2022296,195.255681066,101.45896531,778.990353956,0.0455016918538,0.0397612385637,0.0523458884576
2022361,732.245040125,286.344423203,2022.86811039,0.00849685562943,0.00692790139922,0.0105959796689
2023122,1222.82448055,527.71671072,2470.93248257,0.00892848828253,0.00750793162593,0.0107981595878
2023168,1878.95924305,925.422119869,2837.67057135,0.0101233064268,0.00821706971176,0.0125489494214
2023374,1244.31322927,462.806124862,2451.59280587,0.00578584187174,0.00446254798195,0.00760728707784
2023580,1261.35010509,540.837536867,2494.99533699,0.00675920585299,0.00537690481666,0.00867651026167
2023883,372.573744849,133.83036125,1490.69937229,0.0122577870206,0.00946725641061,0.0160575333297
2024131,1487.97286012,637.447784376,2634.60516641,0.00700912532245,0.00563375061616,0.00884932733528
2024309,1523.72236912,835.889326633,2203.84326255,0.0201153193364,0.0171046193716,0.024445893821
2024383,877.411509053,326.537001909,2197.20203313,0.0114962587185,0.00959542890768,0.014063377664
2024725,1792.18437082,934.954287564,2784.3376562,0.00960043120706,0.00831641260921,0.0111766282663
2024892,2137.64594483,1281.49367921,2933.45460085,0.0246178890913,0.019711420556,0.0317469736698
2025162,688.890994351,275.31605838,1911.66331461,0.00833838863671,0.00712485566315,0.0100093946422
2025258,649.892515089,232.487585633,2021.43564594,0.00696389426702,0.00546617056887,0.00903708224355
2025672,1756.83430965,850.072127233,2747.47782894,0.00751227590104,0.00614545012657,0.00924631035888
2025858,975.748527723,374.044699261,2301.31155453,0.0154557953223,0.0133217283982,0.0181163320999
2026052,1498.76044814,660.222113782,2626.79228323,0.00447735116686,0.00375590651631,0.00541103016213
2026133,1826.17359198,933.387587797,2831.44442189,0.0125766966398,0.0108300929266,0.0147207909797
2026240,1649.34394395,767.209040312,2695.29344031,0.0116019043057,0.00957793492155,0.0142222078114
2026321,1368.50833548,622.558232722,2525.34949017,0.0114590468236,0.0099329357044,0.0135998033962
2026377,1545.8129378,742.350562347,2663.86671569,0.0129264904133,0.011432909768,0.0147996119718
2026562,939.472688275,348.049785415,2290.83330823,0.0103654739306,0.00847172650772,0.0128016521894
2026774,1133.88450055,421.503770858,2453.37639294,0.00720413905881,0.00575016930654,0.00909681316676
2026864,1532.96385006,682.414251582,2715.40406585,0.0164025791207,0.0140753058269,0.0194074897754
2026951,1174.59742563,533.928239276,2445.90302194,0.0150599814759,0.012906793408,0.0175960227055
2027367,180.142553209,85.5741709009,592.036910939,0.0149330304372,0.0119433152825,0.0188200783946
2027478,1248.59260168,528.144473786,2528.4752319,0.00979856914475,0.00820593577371,0.0115998876821
2027496,1859.83926613,994.547979439,2815.04894028,0.0101918277326,0.0086072948522,0.0122603262568
2027931,715.07375693,298.988363039,1956.98412944,0.0176828664641,0.0152339661598,0.0208281891656
2028220,1538.29493608,872.045889747,2228.8404058,0.00874631101307,0.00739922084775,0.0105611642484
2029781,1117.97156822,417.922337187,2434.58151414,0.00874864175311,0.00763010754985,0.0100781783669
2029966,1240.47195855,494.986618382,2343.04797636,0.0174381846307,0.0136113898058,0.0228577330228
2030168,1259.25527708,546.40462722,2561.84772465,0.0112290436413,0.00942419631595,0.0137600406925
2030736,1206.05122866,547.978571223,2435.64637439,0.0102816569119,0.00850486276997,0.0125369934486
2030748,994.722046785,365.772098339,2336.90750093,0.0117081718934,0.00963587139412,0.0145377065956
2030816,1172.53259835,495.355944371,2423.98315839,0.0100250428895,0.00869102844242,0.0118062080369
2031272,1191.1351646,423.938253144,2486.43177364,0.00407471643641,0.00318246368459,0.00531491428206
2031576,2049.52538827,1162.70023507,2920.92785117,0.0109676449223,0.00953896994357,0.0126625299583
2032040,294.585362261,110.59171422,1128.21480789,0.00777996057641,0.00597799737101,0.0103247976212
2032101,825.761940564,324.337680678,1862.70830893,0.00873931153472,0.00739249628281,0.0102750353093
2032495,747.864451097,267.076315781,2175.59386114,0.00706268073734,0.00565366958106,0.00884111355502
2032859,15.04859321,9.78125757877,24.5890977464,0.0399643527983,0.0352550141845,0.0458286512797
2033110,1890.4927236,989.394712915,2840.88973316,0.00973369577385,0.00824101798028,0.011853336143
2033347,1944.7980392,1012.30055556,2850.2272113,0.00593563857904,0.0047420815856,0.00748450998361
2033500,1850.63524442,902.207912877,2818.30377517,0.00947483831866,0.00729463585592,0.0124579333167
2033655,1646.23089491,807.85934776,2699.44183774,0.00596933332366,0.00515694489849,0.00690149432777
2033841,194.502812808,81.2534974418,761.562459556,0.0211073369979,0.0158832479717,0.0275330007836
2034232,1292.95083979,458.468693444,2557.94009763,0.00876136207206,0.00677322222315,0.0115983709464
2034254,580.241110881,220.328595297,1921.39102069,0.0164535466933,0.0144408946501,0.0189850403604
2035197,1195.3949199,453.684526306,2479.33196956,0.00646961348268,0.00537435426994,0.00796028843063
2035406,1309.28651607,626.34401926,2544.63696762,0.0144775033958,0.012669275886,0.0167553484473
2035658,1453.47061118,634.504736172,2605.28749737,0.0128141058639,0.0105359263406,0.0156342359483
2035670,1211.77078454,482.131954058,2496.96678615,0.00831211852398,0.00707266373943,0.00992453953973
2036242,1817.79455967,967.07943506,2772.62683728,0.0149488802778,0.0124695758057,0.0181172940608
2036253,1417.89164584,660.997240098,2566.73004163,0.00675187601834,0.00547466507991,0.00838657845067
2036329,519.680049358,200.968154354,1697.58895202,0.0134991660165,0.011400621615,0.0160291158937
2036585,1016.20661658,447.291285956,2335.99297609,0.0155637631247,0.0135902264035,0.0180449435949
2036768,1788.51547708,917.881599864,2811.18769187,0.0078965281534,0.00675872118481,0.00934011229674
2037179,260.236583591,260.236583591,260.236583591,0.00168494591123,0.00168494591123,0.00168494591123
2037747,395.601804341,161.65355871,1540.15786098,0.00573659546869,0.00479724378012,0.00705834181061
2037755,1243.58305804,601.497248192,1939.53398417,0.0204133817998,0.0165910434796,0.0254124285306
2037950,1416.94630608,637.053219715,2559.74270532,0.0116049544334,0.0102157641228,0.0133429378064
2038260,5.94733404402,4.16261280885,8.59317532271,0.133126829734,0.114848083477,0.156942908574
2038497,1489.53051734,656.714500955,2613.38821881,0.00578004783772,0.00492158883393,0.00681848219908
2038527,1091.84790126,466.551752887,2336.04854601,0.00587105374662,0.00497940856854,0.0070724377292
2038532,562.022504539,204.163716389,1900.23774687,0.0104099523837,0.00848403002743,0.0130243710051
2038706,616.620037393,237.413455877,1947.54122352,0.00992993723326,0.00866632916517,0.011365506049
2038755,1032.09644623,409.264437007,1998.3065493,0.00827782562574,0.00683528694431,0.00995775617678
2038880,1737.98500555,865.109142607,2748.70910081,0.0146523234889,0.0124895107738,0.0173794016929
2038896,1545.92263363,709.294862473,2712.32412487,0.00627333752994,0.00518087831073,0.00771818195504
2039030,1674.9619609,855.783110178,2725.15582686,0.00930094501391,0.00797346007101,0.0108749377717
2039630,630.553533227,251.681294521,1881.00134511,0.0100648237301,0.00844228464524,0.0120319284956
2040194,619.037351564,230.359353962,2004.00653339,0.00858680416072,0.00716257817687,0.0106571229152
2040195,1473.70499788,643.445459433,2663.74570949,0.00315884693839,0.00251040472896,0.00402140500065
2040417,382.812332683,135.08232079,1600.04519754,0.0225564228475,0.0177885646995,0.0292793404599
2040941,1614.31603121,755.151670124,2716.12622398,0.0101866042124,0.00843263965609,0.0123496642208
2041995,74.2732089692,31.0153755269,267.98562081,0.0110255111978,0.0081789891129,0.0151778622431
2042084,2147.11493831,1304.87660987,2948.73311102,0.00927095443241,0.00797770356717,0.0108019266756
2042311,630.595260268,243.879434631,1933.48079092,0.00772563490273,0.00641045875332,0.00974095089193
2042554,1386.43571546,680.84286309,2184.32675839,0.0118081903197,0.00992250385525,0.0139631875795
2043062,2010.02809588,1096.83184494,2884.62109446,0.00468956568612,0.00386870937905,0.00569602743331
2043063,763.123551212,302.208411157,2090.44836465,0.0147238543678,0.0127479554769,0.0170348434796
2043187,1760.41451645,872.111351529,2813.71266405,0.0111855346351,0.00965614015722,0.0129293058375
2043657,75.8855715731,35.7007908723,223.834116848,0.0240182801162,0.0185135678424,0.0315455595557
2045004,1078.959296,443.090856547,2380.0156487,0.00768582879867,0.00658860567988,0.00916853759946
2045364,1221.87833655,509.835011826,2489.08218475,0.0117755035592,0.0102701843617,0.0135329704827
2045390,1765.87791102,897.457317071,2762.41002109,0.00741160420961,0.0065610744461,0.00859256064432
2045532,1861.91777225,962.709694591,2822.94418437,0.0095556053093,0.00813357348661,0.0113109561172
2046414,841.140538619,336.097310313,2183.87458554,0.0108536679984,0.00929546938715,0.0126884220432
2046684,929.309910147,380.263448981,2234.94747174,0.017646040212,0.0145760604766,0.0215454284475
2046931,1743.78624699,832.250597181,2787.16839259,0.0163744054392,0.0135817073588,0.0201725984904
2046962,1469.9293815,633.153493746,2667.29324745,0.00757010323932,0.00611937563247,0.00935037564861
2048438,1632.04963175,728.140198156,2713.82985886,0.00670049644681,0.00513451214639,0.00873885147236
2048560,2978.33184909,2978.33184909,2978.33184909,0.0018757940699,0.0018757940699,0.0018757940699
2049311,93.3573203069,22.5573723606,965.719229886,0.00973259357974,0.00425546149456,0.0183633344308
2049364,2522.9812345,1704.30143647,3087.39296147,0.0169394570047,0.0141811228518,0.0205669940925
2049388,449.573289585,194.174045197,1649.8478207,0.0143968035756,0.0125278654454,0.0166467840366
2049473,1809.71598009,969.12021415,2827.64536117,0.0138611454088,0.0120495672799,0.0160333386338
2049553,1567.34662525,744.641478489,2708.65841028,0.00860388718246,0.00702611651003,0.0106006945015
2049717,1782.04115449,880.424913708,2779.46345203,0.0119343798895,0.0105093391693,0.0137506659316
2049769,1075.26413403,449.451555617,2463.80559104,0.0127554979543,0.0110934473525,0.014805463483
2049798,1781.88979086,903.00803812,2807.35858387,0.0142944730887,0.0119102888976,0.0173279834885
2050091,1293.57931697,636.381222034,2112.26432613,0.00749807844787,0.00630461177908,0.00904141243709
